"scenario_id","kind","comparison","factor","cohort","total_configurations","cohort_probability","excluded_probability","ci_available_probability","p_available_probability","ci_difference_joint_probability","p_difference_joint_probability","ci_difference_conditional_probability","p_difference_conditional_probability","ci_difference_mcse","p_difference_mcse","ci_difference_n","p_difference_n","ci_available_n","p_available_n","nonconverged_output_probability","convergence_unknown_output_probability","ci_delta_median","ci_delta_p99","ci_delta_max","p_delta_median","p_delta_p99","p_delta_max","beta_delta_median","beta_delta_p99"
"E020R4","exact","SAS_PL_control","profile","all_outputs",85,1,0.0235294117647059,0.976470588235294,0.976470588235294,0,0,0,0,,,0,0,83,83,0.0235294117647059,0,1.97864415278914e-05,0.000171564502101198,0.000171564502114308,0,0,0,0,0
"E020R4","exact","SAS_PL_control","profile","both_point_converged",85,0.952941176470588,0.0235294117647059,0.952941176470588,0.952941176470588,0,0,0,0,,,0,0,81,81,0,0,1.97864415421023e-05,0.000171564502101518,0.000171564502114308,0,0,0,0,0
"E020R4","exact","SAS_PL_control","profile","common_point_converged",85,0.952941176470588,0.0235294117647059,0.952941176470588,0.952941176470588,0,0,0,0,,,0,0,81,81,0,0,1.97864415421023e-05,0.000171564502101518,0.000171564502114308,0,0,0,0,0
"E020R4","exact","SAS_PL_control","profile","common_inference_available",85,0.952941176470588,0.0235294117647059,0.952941176470588,0.952941176470588,0,0,0,0,,,0,0,81,81,0,0,1.97864415421023e-05,0.000171564502101518,0.000171564502114308,0,0,0,0,0
"E050R4","exact","SAS_PL_control","profile","all_outputs",451,1,0.00443458980044346,0.995565410199557,0.995565410199557,0,0,0,0,,,0,0,449,449,0,0,2.6788719460491e-06,6.55647024310113e-05,0.000146664616996972,0,0,0,0,0
"E050R4","exact","SAS_PL_control","profile","both_point_converged",451,0.995565410199557,0.00443458980044346,0.995565410199557,0.995565410199557,0,0,0,0,,,0,0,449,449,0,0,2.6788719460491e-06,6.55647024310113e-05,0.000146664616996972,0,0,0,0,0
"E050R4","exact","SAS_PL_control","profile","common_point_converged",451,0.991130820399113,0.00443458980044346,0.991130820399113,0.991130820399113,0,0,0,0,,,0,0,447,447,0,0,2.67274365128856e-06,6.55647024321126e-05,0.000146664616996972,0,0,0,0,0
"E050R4","exact","SAS_PL_control","profile","common_inference_available",451,0.991130820399113,0.00443458980044346,0.991130820399113,0.991130820399113,0,0,0,0,,,0,0,447,447,0,0,2.67274365128856e-06,6.55647024321126e-05,0.000146664616996972,0,0,0,0,0
"E100R4","exact","SAS_PL_control","profile","all_outputs",1701,1,0.00117577895355673,0.998824221046443,0.998824221046443,0,0,0,0,,,0,0,1699,1699,0,0,2.35133389425712e-07,4.22797951843434e-05,0.000176108944847542,0,0,0,0,0
"E100R4","exact","SAS_PL_control","profile","both_point_converged",1701,0.998824221046443,0.00117577895355673,0.998824221046443,0.998824221046443,0,0,0,0,,,0,0,1699,1699,0,0,2.35133389425712e-07,4.22797951843434e-05,0.000176108944847542,0,0,0,0,0
"E100R4","exact","SAS_PL_control","profile","common_point_converged",1701,0.997648442092887,0.00117577895355673,0.997648442092887,0.997648442092887,0,0,0,0,,,0,0,1697,1697,0,0,2.35133292170175e-07,4.22797951849008e-05,0.000176108944847542,0,0,0,0,0
"E100R4","exact","SAS_PL_control","profile","common_inference_available",1701,0.997648442092887,0.00117577895355673,0.997648442092887,0.997648442092887,0,0,0,0,,,0,0,1697,1697,0,0,2.35133292170175e-07,4.22797951849008e-05,0.000176108944847542,0,0,0,0,0
"E200R4","exact","SAS_PL_control","profile","all_outputs",6601,1,0.00030298439630359,0.995455234055446,0.999697015603697,0,0,0,0,,,0,0,6571,6599,0,0,7.32062365527142e-06,2.67421257214018e-05,9.86098792639112e-05,0,0,0,0,0
"E200R4","exact","SAS_PL_control","profile","both_point_converged",6601,0.999697015603697,0.00030298439630359,0.995455234055446,0.999697015603697,0,0,0,0,,,0,0,6571,6599,0,0,7.32062365527142e-06,2.67421257214018e-05,9.86098792639112e-05,0,0,0,0,0
"E200R4","exact","SAS_PL_control","profile","common_point_converged",6601,0.999394031207393,0.00030298439630359,0.995152249659143,0.999394031207393,0,0,0,0,,,0,0,6569,6597,0,0,7.3188217819542e-06,2.6631245308657e-05,9.86098792639112e-05,0,0,0,0,0
"E200R4","exact","SAS_PL_control","profile","common_inference_available",6601,0.995152249659143,0.00030298439630359,0.995152249659143,0.995152249659143,0,0,0,0,,,0,0,6569,6569,0,0,7.3188217819542e-06,2.6631245308657e-05,9.86098792639112e-05,0,0,0,0,0
"C40R00","simulation","SAS_PL_control","profile","all_outputs",2500,1,0.048,0.9504,0.952,0,0,0,0,0,0,0,0,2376,2380,0.0404,0,5.0943237357437e-05,0.00074129211789753,3.93305419802511,0,0,0,0,0
"C40R00","simulation","SAS_PL_control","profile","both_point_converged",2500,0.9116,0.048,0.91,0.9116,0,0,0,0,0,0,0,0,2275,2279,0,0,4.80108738756257e-05,0.00068613730051581,3.93305419802511,0,0,0,0,0
"C40R00","simulation","SAS_PL_control","profile","common_point_converged",2500,0.8668,0.048,0.866,0.8668,0,0,0,0,0,0,0,0,2165,2167,0,0,4.48182995904656e-05,0.000533833813586071,3.93305419802511,0,0,0,0,0
"C40R00","simulation","SAS_PL_control","profile","common_inference_available",2500,0.8568,0.048,0.8568,0.8568,0,0,0,0,0,0,0,0,2142,2142,0,0,4.41061661229369e-05,0.000471208272026402,3.93305419802511,0,0,0,0,0
"C100R00","simulation","SAS_PL_control","profile","all_outputs",2500,1,0.0032,0.9968,0.9968,0,0,0,0,0,0,0,0,2492,2492,0.0044,0,2.25470831973773e-05,0.000303002089576232,0.001199001456472,0,0,0,0,0
"C100R00","simulation","SAS_PL_control","profile","both_point_converged",2500,0.9924,0.0032,0.9924,0.9924,0,0,0,0,0,0,0,0,2481,2481,0,0,2.23540689958668e-05,0.000279664989259132,0.001199001456472,0,0,0,0,0
"C100R00","simulation","SAS_PL_control","profile","common_point_converged",2500,0.9832,0.0032,0.9832,0.9832,0,0,0,0,0,0,0,0,2458,2458,0,0,2.20449417025481e-05,0.000247169974742611,0.000994670622315397,0,0,0,0,0
"C100R00","simulation","SAS_PL_control","profile","common_inference_available",2500,0.9828,0.0032,0.9828,0.9828,0,0,0,0,0,0,0,0,2457,2457,0,0,2.20449417025481e-05,0.000247169974742611,0.000994670622315397,0,0,0,0,0
"C40R50","simulation","SAS_PL_control","profile","all_outputs",2500,1,0.048,0.9504,0.952,0,0,0,0,0,0,0,0,2376,2380,0.0508,0,5.54280000861773e-05,0.000817892209987292,3.93305419802441,0,0,0,0,0
"C40R50","simulation","SAS_PL_control","profile","both_point_converged",2500,0.9012,0.048,0.8996,0.9012,0,0,0,0,0,0,0,0,2249,2253,0,0,5.19053547867188e-05,0.000698162511856282,3.93305419802441,0,0,0,0,0
"C40R50","simulation","SAS_PL_control","profile","common_point_converged",2500,0.8516,0.048,0.8512,0.8516,0,0,0,0,0,0,0,0,2128,2129,0,0,4.7633787875867e-05,0.000545601900689086,3.93305419802441,0,0,0,0,0
"C40R50","simulation","SAS_PL_control","profile","common_inference_available",2500,0.8404,0.048,0.8404,0.8404,0,0,0,0,0,0,0,0,2101,2101,0,0,4.68093776757605e-05,0.000482465329117332,3.93305419802441,0,0,0,0,0
