"a","c","b","d","config_id","design_id","scenario","n","n_exposed","n_unexposed","events","data_state","separation","sparsity_class","beta_reference","ci_available","ci_disagree","ci_delta","sas_point_converged","logistf_point_converged","sas_low","sas_high","logistf_low","logistf_high","aligned_ci_available","aligned_ci_disagree","aligned_decision","weight","decision","wald_logistf_decision","wald_brglm2_decision","wald_common_se","wald_common_sas_low","wald_common_sas_high","wald_common_logistf_low","wald_common_logistf_high","wald_common_se_decision"
12,23,13,2,"n50_12.13.23.2","E050R1","ENUM",50,25,25,35,"ok","none","none",-2.31767073041209,TRUE,FALSE,0.202823558926945,TRUE,TRUE,-3.86149414662535,-0.773749785774118,-4.06431770555229,-0.933402358580258,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.787713371846621,-3.86151180515972,-0.773732127239748,-3.86156056937207,-0.773780891452102,"判定一致"
13,23,12,2,"n50_13.12.23.2","E050R1","ENUM",50,25,25,36,"ok","none","none",-2.16374864813983,TRUE,FALSE,0.201739785455182,TRUE,TRUE,-3.70757740632782,-0.619830097506547,-3.909317191783,-0.776699693589894,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.787713371846621,-3.70759359087717,-0.619813912957198,-3.70763848709981,-0.619858809179846,"判定一致"
14,23,11,2,"n50_14.11.23.2","E050R1","ENUM",50,25,25,37,"ok","none","none",-2.00890807521863,TRUE,FALSE,0.199990049133239,TRUE,TRUE,-3.55513396311393,-0.462604018091959,-3.75512401224717,-0.616126558230745,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.78893234164196,-3.55514796646003,-0.462590014745853,-3.55518705107572,-0.462629099361543,"判定一致"
15,23,10,2,"n50_15.10.23.2","E050R1","ENUM",50,25,25,38,"ok","none","none",-1.85124492251423,TRUE,FALSE,0.197458637826175,TRUE,TRUE,-3.40242350533773,-0.300002660221716,-3.59988214316391,-0.449404055578567,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.791454175799271,-3.40243476276013,-0.299991402799321,-3.40246660249464,-0.300023242533832,"判定一致"
16,23,9,2,"n50_16.9.23.2","E050R1","ENUM",50,25,25,39,"ok","none","none",-1.68864110697592,TRUE,FALSE,0.193969410965156,TRUE,TRUE,-3.24768535031708,-0.12954916489727,-3.44165476128223,-0.27376332526936,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.795461693854434,-3.24769352864309,-0.129540986571257,-3.24771737801184,-0.129564835940002,"判定一致"
17,23,8,2,"n50_17.8.23.2","E050R1","ENUM",50,25,25,40,"ok","none","none",-1.51857497184276,TRUE,TRUE,0.189252153558713,TRUE,TRUE,-3.08901821236266,0.0519001795074634,-3.27827036592137,-0.0856278596625234,TRUE,FALSE,"判定一致",0.0014792899408284,"判定差あり","判定一致","判定一致",0.801272008592574,-3.08902329508911,0.051905262233916,-3.08903925050427,0.0518893068187543,"判定一致"
18,23,7,2,"n50_18.7.23.2","E050R1","ENUM",50,25,25,41,"ok","none","none",-1.33784197773394,TRUE,FALSE,0.18258717549022,TRUE,TRUE,-2.9245325276974,0.248396999787336,-3.10711970318762,0.119908532236595,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.809406079809028,-2.92447452924848,0.248339001338418,-2.92424874302739,0.248564787559503,"判定一致"
19,23,6,2,"n50_19.6.23.2","E050R1","ENUM",50,25,25,42,"ok","none","none",-1.14209740060785,TRUE,FALSE,0.174057126697819,TRUE,TRUE,-2.75079244002667,0.466401311422322,-2.92484956672449,0.350015001287644,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.820724468066031,-2.75078596294239,0.466394834338039,-2.75068779924806,0.466492998032368,"判定一致"
20,23,5,2,"n50_20.5.23.2","E050R1","ENUM",50,25,25,43,"ok","none","none",-0.925032895370021,TRUE,FALSE,0.161894383020718,TRUE,TRUE,-2.56495376137927,0.714832792353208,-2.72684814439999,0.615948950943755,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.836706600641419,-2.56497528739715,0.714854318371085,-2.56494769825414,0.714881907514098,"判定一致"
21,23,4,2,"n50_21.4.23.2","E050R1","ENUM",50,25,25,44,"ok","none","none",-0.676734150918615,TRUE,FALSE,0.14384147411727,TRUE,TRUE,-2.3624452691072,1.00895812286031,-2.50628674322447,0.937037845382361,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.860080533021939,-2.36247044165046,1.00898329540357,-2.36246101944563,1.0089927176084,"判定一致"
22,23,3,2,"n50_22.3.23.2","E050R1","ENUM",50,25,25,45,"ok","none","none",-0.379957348560952,TRUE,FALSE,0.115147802341483,TRUE,TRUE,-2.1369671438262,1.37702379448194,-2.25211494616769,1.3507351744621,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.896448770713651,-2.13697897925609,1.37703562991183,-2.13696465314491,1.37704995602301,"判定一致"
23,23,2,2,"n50_23.2.23.2","E050R1","ENUM",50,25,25,46,"ok","none","none",0,TRUE,FALSE,0.0637265545125856,TRUE,TRUE,-1.88042946593012,1.88042946593012,-1.9441560204427,1.94415602044271,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",0.95943245635004,-1.88045306004488,1.88045306004488,-1.88045306004487,1.88045306004488,"判定一致"
24,23,1,2,"n50_24.1.23.2","E050R1","ENUM",50,25,25,47,"ok","none","none",0.552498320166559,TRUE,FALSE,0.301516825326751,TRUE,TRUE,-1.59095005337884,2.69596094567686,-1.53775638319118,2.99747777100362,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.09363505433673,-1.59097987258149,2.69599076487951,-1.59098699856394,2.69598363889706,"判定一致"
25,23,0,2,"n50_25.0.23.2","E050R1","ENUM",50,25,25,48,"ok","quasi_separation","quasi_separation",1.69111594344837,TRUE,FALSE,1.79822527323182,TRUE,TRUE,-1.45766888659966,4.83985998966825,-0.883524334690969,6.63808526290007,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.60656143140386,-1.45770699296839,4.83989809603698,-1.45768660105432,4.83991848795105,"判定一致"
0,24,25,1,"n50_0.25.24.1","E050R1","ENUM",50,25,25,24,"ok","quasi_separation","quasi_separation",-6.72503364216684,TRUE,FALSE,1.72778335169007,TRUE,TRUE,-10.0375823018942,-3.41242967651398,-11.7653656535842,-4.19036989538663,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.69013804958372,-10.0376156952889,-3.41239628311921,-10.0376433482511,-3.41242393608136,"判定一致"
1,24,24,1,"n50_1.24.24.1","E050R1","ENUM",50,25,25,25,"ok","none","none",-5.58641601888503,TRUE,FALSE,0.450726950878281,TRUE,TRUE,-7.96394292233914,-3.20880070270223,-8.41466987321742,-3.58385428138041,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.21308063452119,-7.96396616652522,-3.20877745851615,-7.96401037288955,-3.20882166488048,"判定一致"
2,24,23,1,"n50_2.23.24.1","E050R1","ENUM",50,25,25,26,"ok","none","none",-5.03391769871847,TRUE,FALSE,0.39264569087375,TRUE,TRUE,-7.17736923320476,-2.89042378603414,-7.57001492407851,-3.20344962341828,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.09363505433673,-7.17738182834995,-2.89041119088895,-7.17740301744897,-2.89043237998798,"判定一致"
3,24,22,1,"n50_3.22.24.1","E050R1","ENUM",50,25,25,27,"ok","none","none",-4.65396035015752,TRUE,FALSE,0.398468840047822,TRUE,TRUE,-6.68997671132069,-2.61790261907145,-7.08844555136851,-2.91216895091362,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.03882019247329,-6.68998982885669,-2.61788950153545,-6.69001051381811,-2.61791018649687,"判定一致"
4,24,21,1,"n50_4.21.24.1","E050R1","ENUM",50,25,25,28,"ok","none","none",-4.35718354779986,TRUE,FALSE,0.408676921685849,TRUE,TRUE,-6.33201654443083,-2.38230868014599,-6.74069346611668,-2.66951522712268,TRUE,FALSE,"判定一致",0.0014792899408284,"判定一致","判定一致","判定一致",1.00760384926792,-6.33202986753746,-2.38229535703935,-6.33205080304888,-2.38231629255077,"判定一致"
