"config_id","exposed_events","unexposed_events","beta_sas","beta_logistf","se_sas","se_logistf","low_sas","high_sas","low_logistf","high_logistf","exact_beta","ordinary_se","augmented_se","different","ordinary_outside","augmented_outside"
"n50_9.16.1.24",9,1,2.24112100132323,2.24113942714246,0.95303648655529,0.934533083110198,0.373203811722267,4.10903819092418,0.409488241885294,4.07279061239962,2.24113942714248,0.953040555362677,0.934533151738383,FALSE,TRUE,TRUE
"n50_10.15.1.24",10,1,2.40375145049305,2.40374324268077,0.949704158548443,0.931255651900706,0.542365503770189,4.26513739721592,0.578515704556021,4.22897078080553,2.40374324268079,0.949698218470656,0.931255720770419,FALSE,TRUE,TRUE
"n50_11.14.1.24",11,1,2.56145171464818,2.56140639538517,0.947617161771633,0.929195837220101,0.704156206443715,4.41874722285265,0.740216019849234,4.38259677092111,2.56140639538519,0.94759761157619,0.929195906242483,FALSE,TRUE,TRUE
"n50_12.13.1.24",12,1,2.71633798134759,2.71624696830637,0.946618970183179,0.92820091521218,0.860998892706164,4.57167706998902,0.897006604073382,4.53548733253936,2.71624696830639,0.946582986305061,0.928200984308546,FALSE,TRUE,TRUE
"n50_13.12.1.24",13,1,2.87031206512245,2.87016905057863,0.946637304042798,0.928200915212181,1.01493704277647,4.72568708746843,1.05092868634564,4.68940941481162,2.87016905057865,0.946582986305061,0.928200984308546,FALSE,TRUE,TRUE
"n50_14.11.1.24",14,1,3.02520856244525,3.02500962349982,0.947671199532089,0.929195837220089,1.16780714217649,4.88260998271402,1.20381924796391,4.84619999903574,3.02500962349984,0.94759761157619,0.929195906242483,FALSE,TRUE,TRUE
"n50_15.10.1.24",15,1,3.18292928050029,3.18267277620422,0.949791093415725,0.931255651899718,1.32137294456855,5.04448561643203,1.3574452380814,5.00790031432704,3.18267277620424,0.949698218470656,0.931255720770419,FALSE,TRUE,TRUE
"n50_16.9.1.24",16,1,3.34559024847448,3.34527659174254,0.953151911596614,0.934533083097766,1.47744682994961,5.21373366699935,1.51362540650974,5.17692777697534,3.34527659174256,0.953040555362677,0.934533151738383,FALSE,TRUE,TRUE
"n50_17.8.1.24",17,1,3.51532791683258,3.5153427268757,0.957890364151926,0.939293767059927,1.63789730195685,5.39275853170831,1.67436077253529,5.35632468121611,3.51534272687571,0.95789551910958,0.939293835369777,FALSE,TRUE,TRUE
"n50_18.7.1.24",18,1,3.69605885050306,3.69607572098451,0.964704146792417,0.945975820146346,1.80527346705348,5.58684423395264,1.84199718325193,5.55015425871709,3.69607572098453,0.964709902410073,0.945975887950991,FALSE,TRUE,TRUE
"n50_19.6.1.24",19,1,3.89180160146305,3.89182029811061,0.974219413934899,0.955306793681934,1.98236663711093,5.80123656581517,2.01945338830758,5.76418720791363,3.89182029811063,0.974225664955765,0.955306860817761,FALSE,TRUE,TRUE
"n50_20.5.1.24",20,1,4.10886465559135,4.10888480334844,0.987720538204887,0.968546093146539,2.17296797391925,6.04476133726344,2.21056934341424,6.00720026328263,4.10888480334845,0.987727153283311,0.968546159364818,FALSE,TRUE,TRUE
"n50_21.4.1.24",21,1,4.35716261228841,4.35718354779984,1.00759705163963,0.988036798054044,2.38230868014599,6.33201654443083,2.42066700821364,6.29370008738604,4.35718354779986,1.00760384926792,0.988036863343913,FALSE,TRUE,TRUE
"n50_22.3.1.24",22,1,4.65393966519607,4.6539603501575,1.0388134997299,1.01864693922778,2.61790261907145,6.68997671132069,2.6574490363091,6.65047166400591,4.65396035015752,1.03882019247329,1.01864700625683,FALSE,TRUE,TRUE
"n50_23.2.1.24",23,1,5.03389650961945,5.03391769871846,1.09362862812417,1.0723973400807,2.89042378603414,7.17736923320476,2.93205753504373,7.13577786239318,5.03391769871848,1.09363505433673,1.07239740054079,FALSE,TRUE,TRUE
"n50_24.1.1.24",24,1,5.58637181252068,5.58641601888502,1.21306877502466,1.18952337434954,3.20880070270223,7.96394292233914,3.25499304639136,7.91783899137867,5.58641601888503,1.21308063452119,1.18952342826636,FALSE,TRUE,TRUE
"n50_25.0.1.24",25,1,6.72500598920407,6.72503364216683,1.69012101182434,1.65731667197346,3.41242967651398,10.0375823018942,3.47675265412107,9.97331463021258,6.72503364216684,1.69013804958372,1.65731671067174,FALSE,TRUE,TRUE
"n50_0.25.2.23",0,2,-1.6910955515343,-1.69111594344775,1.60654198902174,1.57536238628417,-4.83985998966825,1.45766888659966,-4.7787694831638,1.3965375962683,-1.69111594344837,1.60656143140386,1.57536309394497,FALSE,FALSE,FALSE
"n50_1.24.2.23",1,2,-0.552505446149011,-0.55249832016654,1.09361984017827,1.07239734072616,-2.69596094567686,1.59095005337884,-2.65435848510633,1.54936184477325,-0.552498320166559,1.09363505433673,1.07239740054079,FALSE,FALSE,FALSE
"n50_2.23.2.23",2,2,0,4.39847268850213e-17,0.959420418315188,0.940800926306809,-1.88042946593012,1.88042946593012,-1.84393593218327,1.84393593218327,0,0.95943245635004,0.940800926327522,FALSE,FALSE,FALSE
"n50_3.22.2.23",3,2,0.379971674672132,0.379957348560952,0.896442732118053,0.879040341297601,-1.37702379448194,2.1369671438262,-1.34293006134014,2.10284475846205,0.379957348560952,0.896448770713651,0.879040341308686,FALSE,FALSE,FALSE
"n50_4.21.2.23",4,2,0.676743573123443,0.676734150918615,0.860067689651624,0.843378350207707,-1.00895812286031,2.3624452691072,-0.976257040829299,2.32972534266653,0.676734150918615,0.860080533021939,0.84337835021926,FALSE,FALSE,FALSE
"n50_5.20.2.23",5,2,0.925060484513032,0.925032895370021,0.836695617777423,0.820458323800139,-0.714832792353209,2.56495376137927,-0.683035870094354,2.5331016608344,0.925032895370021,0.836706600641419,0.820458323812015,FALSE,FALSE,FALSE
"n50_6.19.2.23",6,2,1.14219556430218,1.14209740060785,0.820727772761594,0.804786553440152,-0.466401311422322,2.75079244002667,-0.43525525937697,2.71945006059267,1.14209740060785,0.820724468066031,0.80478655345226,FALSE,FALSE,FALSE
"n50_7.18.2.23",7,2,1.33806776395503,1.33784197773394,0.809435671398147,0.793687960635199,-0.248396999787337,2.9245325276974,-0.217757840074091,2.89344179554198,1.33784197773394,0.809406079809028,0.793687960647476,FALSE,FALSE,FALSE
"n50_8.17.2.23",8,2,1.5185590164276,1.51857497184276,0.80126941531714,0.785711847585526,-0.0519001795074632,3.08901821236266,-0.0213919516512946,3.05854189533682,1.51857497184276,0.801272008592574,0.785711847597927,FALSE,FALSE,FALSE
"n50_9.16.2.23",9,2,1.68861725760717,1.68864110697592,0.795457521162447,0.780014365233534,0.129549164897271,3.24768535031708,0.159841043694321,3.21744117025752,1.68864110697592,0.795461693854434,0.780014365246025,FALSE,TRUE,TRUE
"n50_10.15.2.23",10,2,1.85121308277972,1.85124492251423,0.791448432110875,0.776084670471095,0.300002660221716,3.40242350533773,0.330146919437253,3.37234292559122,1.85124492251424,0.791454175799271,0.77608467048365,FALSE,TRUE,TRUE
"n50_11.14.2.23",11,2,2.00886899060294,2.00890807521863,0.788925196946335,0.773611808629098,0.462604018091958,3.55513396311393,0.492656792290709,3.52515935814656,2.00890807521863,0.78893234164196,0.773611808641693,FALSE,TRUE,TRUE
"n50_12.13.2.23",12,2,2.16370375191718,2.16374864813983,0.787705114271749,0.772416510403518,0.619830097506547,3.70757740632782,0.649840106684826,3.67765718959483,2.16374864813983,0.787713371846621,0.772416510416133,FALSE,TRUE,TRUE
