"config_id","exposed_events","unexposed_events","before_different","after_different","sas_wald_low","sas_wald_high","sas_pl_low","sas_pl_high","logistf_pl_low","logistf_pl_high","before_delta","after_delta"
"n50_9.16.8.17",9,8,FALSE,FALSE,-0.996810391791319,1.33641291511996,-0.977953695745293,1.33028242187699,-0.977953432618448,1.33028215660994,0.0188569591728711,2.65267050325591e-07
"n50_10.15.8.17",10,8,FALSE,FALSE,-0.823399769359827,1.48877850534839,-0.799338369570325,1.48682730714146,-0.799338182121556,1.48682711736605,0.0240615872382711,1.89775411607584e-07
"n50_11.14.8.17",11,8,FALSE,FALSE,-0.659089211533452,1.63980775960545,-0.630392303144834,1.64169206154074,-0.630392156395947,1.64169191156158,0.0286970551375056,1.49979159758118e-07
"n50_12.13.8.17",12,8,FALSE,FALSE,-0.501028166388688,1.7914371300831,-0.468222303545621,1.79677978561121,-0.468222194937298,1.79677967362693,0.0328059714513906,1.1198427873893e-07
"n50_13.12.8.17",13,8,FALSE,FALSE,-0.347104286503572,1.94536178055591,-0.310468646181677,1.95398729395639,-0.310468571772472,1.95398721676465,0.0366357147311005,7.71917469943872e-08
"n50_14.11.8.17",14,8,FALSE,FALSE,-0.195481400427291,2.10341769904118,-0.155082144851902,2.1153471231609,-0.155082099722415,2.11534707629094,0.0403993007048755,4.68699545841389e-08
"n50_15.10.8.17",15,8,FALSE,FALSE,-0.0444652589298826,2.26771582298681,-0.000158826567659052,2.28321021734171,-0.000158804773394942,2.28319190804589,0.0443064541564877,1.83092958274678e-05
"n50_16.9.8.17",16,8,FALSE,FALSE,0.107608121965328,2.44082486486445,0.15620224560525,2.46038490368432,0.156202251554045,2.46037568745775,0.0485941295887175,9.21622656635535e-06
"n50_17.8.8.17",17,8,FALSE,FALSE,0.262637712998073,2.62623943721416,0.316045199021637,2.65061511332242,0.316045210842208,2.65060733102358,0.0534074978441345,7.78229883291459e-06
"n50_18.7.8.17",18,8,FALSE,FALSE,0.422087034915606,2.82785565902764,0.481737839535487,2.85901769455836,0.481737846783289,2.85900117055118,0.0596508118676825,1.65240071789974e-05
"n50_19.6.8.17",19,8,FALSE,FALSE,0.588712839437583,3.05269035923722,0.656231970381412,3.09306248311469,0.656231999111438,3.09306245769605,0.067519159673855,2.87300261359036e-08
"n50_20.5.8.17",20,8,FALSE,FALSE,0.765184939952296,3.31042513118214,0.843490704821255,3.3646128649931,0.843490763602735,3.36461281811279,0.0783058236504394,5.87814801278341e-08
"n50_21.4.8.17",21,8,FALSE,FALSE,0.95512454815511,3.61748236066262,1.04927407367284,3.6939747565434,1.04927417155176,3.69397467436836,0.0941496233966532,9.78789207461972e-08
"n50_22.3.8.17",22,8,FALSE,FALSE,1.16253971458064,4.00317616640353,1.2827741767379,4.12046393111794,1.28277424162729,4.12046385227604,0.120234527046649,7.88419063368906e-08
"n50_23.2.8.17",23,8,FALSE,FALSE,1.39235527472278,4.53325134441525,1.5606123373532,4.73494287628814,1.56061235051561,4.73494276876376,0.201691424348518,1.07524379622248e-07
"n50_24.1.8.17",24,8,FALSE,FALSE,1.63789730195685,5.39275853170831,1.9193925516758,5.82586620321138,1.91939678271204,5.82586588612572,0.433107354417409,4.23103623781174e-06
"n50_25.0.8.17",25,8,FALSE,FALSE,1.679706849243,7.62924932865611,2.48199199059815,9.54091796525497,2.4820040941818,9.54091454336668,1.91166521471057,1.21035836482264e-05
"n50_0.25.9.16",0,9,FALSE,FALSE,-6.34790732024506,-0.41165696423351,-8.26375894759254,-1.20278221230039,-8.26375778009614,-1.2028246480543,1.91585045985107,4.24357539137166e-05
"n50_1.24.9.16",1,9,FALSE,FALSE,-4.10903819092418,-0.373203811722272,-4.5406436399475,-0.635574274412467,-4.54064334235968,-0.63558289904359,0.431605151435491,8.62463112327738e-06
"n50_2.23.9.16",2,9,FALSE,FALSE,-3.24768535031708,-0.129549164897268,-3.44165476366113,-0.27376310454179,-3.44165476128223,-0.273763325269357,0.193969410965149,2.20727567223911e-07
"n50_3.22.9.16",3,9,FALSE,FALSE,-2.71653453927838,0.0989148310898582,-2.82013100122992,0.00626367194744593,-2.82013087613672,0.00626361120920464,0.103596336858337,1.25093196245984e-07
"n50_4.21.9.16",4,9,FALSE,FALSE,-2.32960311316277,0.305727384200764,-2.38779235826768,0.241399758669401,-2.38779212587325,0.241399546143348,0.0643278380574161,2.32394429922067e-07
"n50_5.20.9.16",5,9,FALSE,FALSE,-2.02216669899974,0.49490270707317,-2.05367481766619,0.448420650949515,-2.05367453373206,0.448420368773804,0.0464823382993657,2.83934123324059e-07
"n50_6.19.9.16",6,9,FALSE,FALSE,-1.76401159100331,0.67087515018062,-1.77828935106273,0.636610469108633,-1.77828906161008,0.636610179617482,0.0342649705631377,2.8949115082888e-07
"n50_7.18.9.16",7,9,FALSE,FALSE,-1.53879984076791,0.837162155703107,-1.5411456727347,0.81178772335127,-1.54114540600833,0.811787457624471,0.0253746980786358,2.66726363662428e-07
"n50_8.17.9.16",8,9,FALSE,FALSE,-1.33641291511996,0.996810391791319,-1.33028242187699,0.977953695745301,-1.33028215660995,0.977953432618443,0.0188569591728768,2.65267040999717e-07
"n50_9.16.9.16",9,9,FALSE,FALSE,-1.15123772172314,1.15123772172314,-1.13808487157853,1.13808487157851,-1.1380846819932,1.1380846819932,0.013153039729946,1.89585327659003e-07
"n50_10.15.9.16",10,9,FALSE,FALSE,-0.978223825384865,1.30292111385109,-0.959355870198952,1.29456433045536,-0.959355695088751,1.29456415331904,0.0188681302961147,1.77136321388716e-07
"n50_11.14.9.16",11,9,FALSE,FALSE,-0.813554193496575,1.45412641701066,-0.790324863369407,1.44944387199776,-0.790324758883754,1.44944376552788,0.0232294346128213,1.06469880467586e-07
"n50_12.13.9.16",12,9,FALSE,FALSE,-0.655446239856468,1.60571416695393,-0.628093580762549,1.60462608286154,-0.62809351075139,1.60462601075668,0.0273527291050778,7.21048583063322e-08
"n50_13.12.9.16",13,9,FALSE,FALSE,-0.501519400204771,1.75964199098172,-0.47029886246786,1.7620383408462,-0.470298820950558,1.76201070870514,0.0312205792542128,2.76321410599412e-05
"n50_14.11.9.16",14,9,FALSE,FALSE,-0.349937320490813,1.91774608648834,-0.314889459653206,1.92365073244859,-0.314889439896978,1.92363721933947,0.0350478805938343,1.35131091241192e-05
"n50_15.10.9.16",15,9,FALSE,FALSE,-0.199007555035326,2.08213982405133,-0.159960431185852,2.09185428845262,-0.159960425600582,2.09184942488254,0.0390471294347432,4.86357007423166e-06
"n50_16.9.9.16",16,9,FALSE,FALSE,-0.0470702753637131,2.25539672906206,-0.00361087673010137,2.26952081652766,-0.00361087641842039,2.26951799375111,0.0434593989452927,2.82277655161423e-06
"n50_17.8.9.16",17,9,FALSE,FALSE,0.107608121965328,2.44082486486445,0.156202245605238,2.46038490368432,0.156202251554046,2.46037568745773,0.0485941295887184,9.21622658989207e-06
"n50_18.7.9.16",18,9,FALSE,FALSE,0.266953005040508,2.64291277740308,0.321844317507483,2.66959684583161,0.321844342398794,2.66957035058973,0.054891337358286,2.64952418826958e-05
"n50_19.6.9.16",19,9,FALSE,FALSE,0.433228234445918,2.86811016606344,0.496262999467033,2.90465406235239,0.496263057010275,2.9046540078349,0.0630348225643576,5.75432426708211e-08
"n50_20.5.9.16",20,9,FALSE,FALSE,0.609231262040778,3.12631265793144,0.683414447499247,3.17751320276957,0.683414544285032,3.17751311472039,0.0741832822442543,9.67857858302779e-08
"n50_21.4.9.16",21,9,FALSE,FALSE,0.798535998521188,3.43397340431198,0.889047010186154,3.50855862156918,0.889047144640817,3.50855849133018,0.0905111461196294,1.34454663180961e-07
